date,symbol,direction,entry_price,exit_price,quantity,sl,target,pnl,pnl_pct,exit_reason,entry_time,exit_time,mode
2021-03-30,ADANIENT,SHORT,997.9,1001.5,11,1015.12,973.9,-101.59,-0.926,EOD,2021-03-30 10:30:00,2021-03-30 15:15:00,backtest
2021-03-31,TATASTEEL,SHORT,75.88,76.64,146,76.64,74.71,-173.23,-1.564,SL,2021-03-31 09:46:00,2021-03-31 10:28:00,backtest
2021-04-01,TATASTEEL,SHORT,79.35,80.58,139,80.58,77.61,-233.2,-2.114,SL,2021-04-01 12:16:00,2021-04-01 14:47:00,backtest
2021-04-01,ADANIENT,SHORT,1055.4,1077.95,10,1077.95,1024.86,-286.83,-2.718,SL,2021-04-01 12:09:00,2021-04-01 14:02:00,backtest
2021-04-01,JSWSTEEL,SHORT,505.55,510.65,21,517.35,489.75,-168.44,-1.587,EOD,2021-04-01 12:10:00,2021-04-01 15:15:00,backtest
2021-04-05,SBIN,LONG,354.7,349.57,31,349.57,362.31,-220.86,-2.009,SL,2021-04-05 10:03:00,2021-04-05 11:12:00,backtest
2021-04-05,ADANIENT,LONG,1079.5,1104.0,10,1065.52,1100.55,183.16,1.697,EOD,2021-04-05 10:03:00,2021-04-05 15:15:00,backtest
2021-04-05,TATASTEEL,LONG,79.3,81.21,138,78.13,81.04,201.43,1.841,EOD,2021-04-05 10:03:00,2021-04-05 15:15:00,backtest
2021-04-06,ADANIPORTS,SHORT,787.2,805.74,14,805.74,762.39,-321.86,-2.92,SL,2021-04-06 10:52:00,2021-04-06 11:45:00,backtest
2021-04-06,ADANIENT,SHORT,1178.1,1183.2,9,1212.96,1132.67,-107.15,-1.011,EOD,2021-04-06 10:54:00,2021-04-06 15:15:00,backtest
2021-04-07,JSWSTEEL,SHORT,555.2,563.56,19,563.56,543.31,-220.1,-2.086,SL,2021-04-07 10:56:00,2021-04-07 15:08:00,backtest
2021-04-07,ADANIPORTS,LONG,844.85,830.18,12,830.18,866.19,-236.14,-2.329,SL,2021-04-07 10:21:00,2021-04-07 11:22:00,backtest
2021-04-07,ADANIENT,LONG,1173.1,1156.1,9,1156.1,1198.32,-213.96,-2.027,SL,2021-04-07 10:21:00,2021-04-07 10:42:00,backtest
2021-04-08,TECHM,SHORT,998.8,981.8,10,1012.99,978.42,110.19,1.103,EOD,2021-04-08 10:31:00,2021-04-08 15:15:00,backtest
2021-04-08,JSWSTEEL,SHORT,606.7,626.9,17,626.9,580.71,-404.37,-3.921,SL,2021-04-08 12:30:00,2021-04-08 13:44:00,backtest
2021-04-08,ADANIENT,SHORT,1143.1,1154.34,9,1154.34,1125.83,-161.84,-1.573,SL,2021-04-08 10:51:00,2021-04-08 10:53:00,backtest
2021-04-09,SBIN,SHORT,363.25,353.0,29,367.83,356.54,236.48,2.245,EOD,2021-04-09 10:11:00,2021-04-09 15:15:00,backtest
2021-04-09,ADANIENT,SHORT,1173.1,1164.3,9,1194.74,1143.22,18.16,0.172,EOD,2021-04-09 12:13:00,2021-04-09 15:15:00,backtest
2021-04-12,M&M,LONG,741.85,752.2,14,727.25,762.84,83.98,0.809,EOD,2021-04-12 12:12:00,2021-04-12 15:15:00,backtest
2021-04-12,BAJAJFINSV,LONG,911.85,915.1,11,901.76,927.41,-24.35,-0.243,EOD,2021-04-12 12:02:00,2021-04-12 15:15:00,backtest
2021-04-12,LT,LONG,1338.9,1343.95,8,1322.89,1363.29,-21.06,-0.197,EOD,2021-04-12 12:07:00,2021-04-12 15:15:00,backtest
2021-04-13,WIPRO,LONG,201.3,198.51,54,198.51,205.46,-212.25,-1.953,SL,2021-04-13 11:17:00,2021-04-13 12:11:00,backtest
2021-04-13,JSWSTEEL,SHORT,624.35,631.49,17,631.49,613.71,-182.73,-1.722,SL,2021-04-13 09:52:00,2021-04-13 15:01:00,backtest
2021-04-13,TECHM,LONG,956.5,946.7,11,946.7,971.81,-168.74,-1.604,SL,2021-04-13 10:54:00,2021-04-13 12:03:00,backtest
2021-04-16,WIPRO,SHORT,221.55,225.13,48,225.13,216.51,-233.28,-2.194,SL,2021-04-16 09:46:00,2021-04-16 10:37:00,backtest
2021-04-16,ADANIENT,SHORT,1146.1,1117.6,9,1170.83,1112.65,196.13,1.901,EOD,2021-04-16 10:24:00,2021-04-16 15:15:00,backtest
2021-04-16,ADANIPORTS,SHORT,770.35,779.86,14,779.86,756.36,-194.84,-1.807,SL,2021-04-16 10:02:00,2021-04-16 10:14:00,backtest
2021-04-20,SBIN,LONG,332.35,329.14,32,329.14,337.42,-163.89,-1.541,SL,2021-04-20 12:25:00,2021-04-20 14:38:00,backtest
2021-04-22,INDUSINDBK,SHORT,836.0,836.8,12,845.9,821.34,-69.67,-0.695,EOD,2021-04-22 12:15:00,2021-04-22 15:15:00,backtest
2021-04-27,HINDALCO,SHORT,366.6,366.7,29,370.61,360.57,-64.17,-0.604,EOD,2021-04-27 10:04:00,2021-04-27 15:15:00,backtest
2021-04-28,BAJFINANCE,SHORT,519.0,529.7,20,529.7,504.44,-274.97,-2.649,SL,2021-04-28 11:35:00,2021-04-28 13:34:00,backtest
2021-04-29,JSWSTEEL,SHORT,693.0,700.65,15,700.65,681.51,-175.65,-1.69,SL,2021-04-29 10:09:00,2021-04-29 12:09:00,backtest
2021-04-29,TATASTEEL,SHORT,96.26,97.31,111,97.31,94.67,-178.04,-1.666,SL,2021-04-29 10:06:00,2021-04-29 15:05:00,backtest
2021-04-29,ICICIBANK,LONG,612.1,621.0,17,605.24,622.65,90.34,0.868,EOD,2021-04-29 09:58:00,2021-04-29 15:15:00,backtest
2021-04-30,BAJFINANCE,SHORT,551.0,545.0,19,556.59,542.47,53.18,0.508,EOD,2021-04-30 12:28:00,2021-04-30 15:15:00,backtest
2021-05-03,HINDALCO,SHORT,370.0,369.7,28,374.73,363.09,-52.31,-0.505,EOD,2021-05-03 10:18:00,2021-05-03 15:15:00,backtest
2021-05-03,ADANIENT,SHORT,1179.5,1210.49,9,1210.49,1138.57,-340.42,-3.207,SL,2021-05-03 11:46:00,2021-05-03 14:26:00,backtest
2021-05-03,ADANIPORTS,SHORT,756.1,761.6,14,771.92,734.62,-138.25,-1.306,EOD,2021-05-03 11:51:00,2021-05-03 15:15:00,backtest
2021-05-05,ADANIENT,LONG,1207.9,1229.3,8,1192.65,1230.95,111.7,1.156,EOD,2021-05-05 10:23:00,2021-05-05 15:15:00,backtest
2021-05-06,WIPRO,SHORT,243.05,244.9,43,246.75,237.8,-140.53,-1.345,EOD,2021-05-06 12:41:00,2021-05-06 15:15:00,backtest
2021-05-06,JSWSTEEL,LONG,723.65,728.8,14,716.68,734.67,11.77,0.116,EOD,2021-05-06 10:21:00,2021-05-06 15:15:00,backtest
2021-05-06,ADANIENT,SHORT,1266.1,1244.8,8,1284.2,1240.14,110.31,1.089,EOD,2021-05-06 11:52:00,2021-05-06 15:15:00,backtest
2021-05-07,ADANIPORTS,SHORT,761.4,769.02,13,769.02,749.73,-158.96,-1.606,SL,2021-05-07 11:59:00,2021-05-07 12:55:00,backtest
2021-05-07,TATASTEEL,SHORT,111.65,111.79,95,114.02,108.44,-74.53,-0.703,EOD,2021-05-07 11:54:00,2021-05-07 15:15:00,backtest
2021-05-11,TATASTEEL,SHORT,117.31,117.12,90,119.94,113.77,-44.0,-0.417,EOD,2021-05-11 12:21:00,2021-05-11 15:15:00,backtest
2021-05-14,ADANIPORTS,LONG,729.75,733.85,14,720.54,743.67,-3.09,-0.03,EOD,2021-05-14 12:05:00,2021-05-14 15:15:00,backtest
