date,cumulative_pnl_inr
2021-03-30,-101.59
2021-03-31,-274.82
2021-04-01,-963.29
2021-04-05,-799.56
2021-04-06,-1228.57
2021-04-07,-1898.77
2021-04-08,-2354.79
2021-04-09,-2100.15
2021-04-12,-2061.58
2021-04-13,-2625.3
2021-04-16,-2857.29
2021-04-20,-3021.18
2021-04-22,-3090.85
2021-04-27,-3155.02
2021-04-28,-3429.99
2021-04-29,-3693.3399999999997
2021-04-30,-3640.16
2021-05-03,-4171.139999999999
2021-05-05,-4059.4399999999996
2021-05-06,-4077.8899999999994
2021-05-07,-4311.379999999999
2021-05-11,-4355.379999999999
2021-05-14,-4086.3399999999992
2021-05-17,-4183.089999999999
2021-05-24,-4081.419999999999
2021-05-26,-4457.15
2021-05-27,-4394.87
2021-05-31,-4331.57
2021-06-02,-4637.25
2021-06-03,-4972.0
2021-06-07,-5182.73
2021-06-08,-4904.0
2021-06-11,-4845.93
2021-06-14,-2697.6400000000003
2021-06-16,-2681.2200000000003
2021-06-17,-3034.03
2021-06-18,-2315.04
2021-06-21,-2124.42
2021-07-01,-2162.25
2021-07-05,-2404.67
2021-07-06,-2414.2400000000002
2021-07-13,-2289.63
2021-07-15,-2292.01
2021-07-20,-2315.6800000000003
2021-07-26,-2292.07
2021-07-28,-2097.04
2021-07-29,-2354.8
2021-07-30,-1976.2900000000002
2021-08-03,-1989.4800000000002
2021-08-06,-2337.5600000000004
2021-08-11,-2235.8900000000003
2021-08-12,-2359.5600000000004
2021-08-13,-2539.7900000000004
2021-08-18,-2503.1700000000005
2021-08-20,-2873.5800000000004
2021-08-23,-2877.1900000000005
2021-08-24,-3023.7400000000007
2021-08-27,-2944.0300000000007
2021-08-31,-3050.390000000001
2021-09-01,-3140.9900000000007
2021-09-14,-3070.620000000001
2021-09-16,-3384.380000000001
2021-09-17,-3647.6600000000008
2021-09-20,-3625.0700000000006
2021-09-21,-2890.6600000000008
2021-09-22,-2937.790000000001
2021-09-23,-3119.2600000000007
2021-09-24,-3017.2000000000007
2021-09-27,-3076.2600000000007
2021-10-01,-3392.4100000000008
2021-10-11,-3333.040000000001
2021-10-12,-3353.0300000000007
2021-10-14,-3515.4100000000008
2021-10-18,-3018.5500000000006
2021-10-20,-2990.7100000000005
2021-10-21,-3241.3300000000004
2021-10-22,-3544.5400000000004
2021-10-25,-3278.4700000000003
2021-10-27,-3409.51
2021-10-28,-3734.65
2021-10-29,-3868.63
2021-11-01,-4023.37
2021-11-08,-3924.23
2021-11-09,-4103.49
2021-11-10,-4038.06
2021-11-12,-4228.88
2021-11-16,-4412.6
2021-11-17,-4349.96
2021-11-18,-4466.18
2021-11-23,-4610.7300000000005
2021-11-26,-5058.92
2021-11-29,-5261.28
2021-11-30,-5614.53
2021-12-07,-5634.11
2021-12-13,-5651.11
2021-12-20,-5804.78
2022-01-05,-5881.74
