iter	Passed	Remaining
399	48024	72036
400	48159	71938
401	48285	71828
402	48410	71715
403	48520	71579
404	48624	71436
405	48760	71339
406	48878	71216
407	48999	71096
408	49091	70936
409	49213	70820
410	49310	70666
411	49416	70526
412	49535	70405
413	49643	70268
414	49765	70150
415	49885	70031
416	49995	69898
417	50112	69774
418	50235	69658
419	50348	69528
420	50475	69419
421	50570	69264
422	50679	69130
423	50782	68988
424	50897	68860
425	51017	68741
426	51153	68644
427	51273	68524
428	51393	68404
429	51501	68269
430	51614	68140
431	51728	68013
432	51840	67883
433	51956	67759
434	52096	67665
435	52206	67533
436	52319	67404
437	52441	67287
438	52563	67171
439	52681	67048
440	52783	66906
441	52910	66796
442	53018	66661
443	53156	66564
444	53290	66463
445	53410	66343
446	53527	66220
447	53650	66104
448	53771	65987
449	53885	65860
450	53996	65729
451	54105	65596
452	54233	65487
453	54344	65357
454	54458	65230
455	54624	65165
456	54728	65027
457	54838	64895
458	54942	64758
459	55054	64628
460	55181	64518
461	55314	64413
462	55422	64280
463	55565	64188
464	55668	64049
465	55807	63951
466	55926	63830
467	56043	63707
468	56161	63585
469	56313	63502
470	56465	63419
471	56593	63307
472	56720	63196
473	56841	63077
474	56955	62951
475	57057	62810
476	57151	62663
477	57277	62549
478	57397	62430
479	57499	62291
480	57631	62184
481	57746	62059
482	57870	61944
483	57991	61825
484	58088	61681
485	58196	61548
486	58308	61421
487	58447	61321
488	58569	61204
489	58704	61101
490	58810	60966
491	58930	60846
492	59051	60728
493	59164	60601
494	59297	60495
495	59403	60361
496	59502	60221
497	59614	60093
498	59734	59974
499	59854	59854
500	59956	59716
501	60077	59599
502	60182	59464
503	60289	59332
504	60401	59205
505	60529	59094
506	60640	58966
507	60773	58858
508	60916	58762
509	61039	58645
510	61159	58526
511	61266	58394
512	61391	58280
513	61489	58139
514	61602	58013
515	61730	57901
516	61840	57773
517	61999	57690
518	62091	57544
519	62211	57426
520	62324	57300
521	62430	57168
522	62543	57042
523	62650	56911
524	62767	56789
525	62905	56686
526	63003	56548
527	63128	56433
528	63250	56315
529	63391	56214
530	63501	56086
531	63617	55963
532	63715	55826
533	63844	55714
534	63946	55579
535	64065	55459
536	64207	55359
537	64327	55240
538	64460	55132
539	64566	55000
540	64669	54867
541	64792	54751
542	64894	54616
543	64990	54477
544	65090	54341
545	65193	54208
546	65316	54091
547	65432	53970
548	65591	53883
549	65696	53751
550	65811	53628
551	65924	53504
552	66044	53385
553	66146	53251
554	66268	53134
555	66404	53027
556	66525	52910
557	66640	52786
558	66747	52657
559	66865	52536
560	67029	52452
561	67163	52344
562	67281	52224
563	67389	52095
564	67524	51987
565	67646	51870
566	67763	51749
567	67874	51623
568	67996	51505
569	68138	51402
570	68265	51288
571	68374	51161
572	68500	51046
573	68613	50921
574	68743	50810
575	68857	50686
576	68982	50571
577	69100	50450
578	69226	50335
579	69319	50196
580	69419	50063
581	69542	49946
582	69658	49824
583	69791	49714
584	69897	49585
585	70008	49460
586	70117	49332
587	70217	49199
588	70332	49077
589	70432	48944
590	70545	48820
591	70656	48695
592	70784	48582
593	70909	48467
594	71041	48355
595	71162	48237
596	71281	48118
597	71758	48238
598	71971	48181
599	72162	48108
600	72392	48061
601	72550	47965
602	72680	47851
603	72828	47748
604	72962	47636
605	73114	47536
606	73245	47422
607	73361	47298
608	73495	47186
609	73630	47075
610	73765	46963
611	73909	46857
612	74041	46743
613	74152	46617
614	74307	46517
615	74440	46404
616	74567	46287
617	74695	46170
618	74821	46053
619	74940	45931
620	75063	45811
621	75179	45687
622	75326	45582
623	75458	45468
624	75574	45344
625	75702	45228
626	75830	45111
627	75967	45000
628	76084	44876
629	76221	44764
630	76348	44647
631	76657	44636
632	76823	44540
633	77007	44455
634	77138	44339
635	77253	44214
636	77366	44088
637	77499	43973
638	77605	43843
639	77728	43722
640	77826	43587
641	78007	43499
642	78174	43403
643	78327	43299
644	78453	43180
645	78561	43050
646	78682	42928
647	78834	42823
648	78943	42695
649	79079	42581
650	79194	42456
651	79289	42320
652	79402	42194
653	79532	42077
654	79640	41948
655	79741	41815
656	79859	41692
657	80016	41588
658	80161	41479
659	80271	41352
660	80388	41228
661	80486	41094
662	80588	40962
663	80687	40829
664	80780	40693
665	80894	40568
666	81027	40452
667	81115	40314
668	81229	40189
669	81333	40059
670	81449	39935
671	81567	39812
672	81671	39682
673	81808	39569
674	81932	39449
675	82045	39323
676	82165	39201
677	82263	39069
678	82370	38941
679	82480	38814
680	82591	38688
681	82701	38561
682	82943	38496
683	83413	38535
684	83541	38416
685	83678	38301
686	83798	38178
687	83910	38052
688	84044	37936
689	84158	37810
690	84294	37694
691	84446	37585
692	84629	37491
693	84784	37383
694	84947	37278
695	85106	37172
696	85292	37078
697	85424	36960
698	85539	36834
699	85687	36723
700	85828	36608
701	85972	36495
702	86082	36367
703	86193	36240
704	86302	36112
705	86454	36002
706	86572	35877
707	86703	35759
708	86864	35652
709	86999	35535
710	87128	35415
711	87257	35295
712	87364	35166
713	87485	35043
714	87609	34921
715	87737	34800
716	87878	34685
717	88039	34578
718	88170	34458
719	88305	34341
720	88432	34220
721	88586	34109
722	88715	33989
723	88847	33870
724	88965	33745
725	89154	33647
726	89315	33539
727	89488	33435
728	89637	33322
729	89774	33204
730	89919	33089
731	90093	32985
732	90247	32873
733	90385	32755
734	90516	32635
735	90638	32511
736	90772	32392
737	90905	32272
738	91034	32151
739	91168	32032
740	91328	31921
741	91444	31796
742	91574	31675
743	91710	31556
744	91832	31432
745	91996	31323
746	92146	31209
747	92277	31088
748	92434	30975
749	92558	30852
750	92699	30735
751	92838	30617
752	92973	30497
753	93115	30379
754	93241	30257
755	93373	30136
756	93510	30017
757	93637	29894
758	93764	29772
759	93875	29644
760	93983	29516
761	94093	29388
762	94207	29262
763	94351	29145
764	94498	29028
765	94674	28921
766	94810	28801
767	94936	28678
768	95064	28556
769	95174	28428
770	95297	28305
771	95422	28181
772	95587	28070
773	95735	27953
774	95886	27837
775	96006	27713
776	96139	27592
777	96283	27474
778	96394	27346
779	96519	27223
780	96629	27095
781	96773	26977
782	96926	26862
783	97061	26741
784	97169	26613
785	97268	26482
786	97363	26351
787	97460	26220
788	97564	26091
789	97666	25961
790	97777	25835
791	97872	25703
792	98014	25585
793	98123	25457
794	98219	25326
795	98327	25199
796	98455	25077
797	98556	24947
798	98660	24819
799	98774	24693
800	98895	24569
801	99038	24450
802	99171	24329
803	99320	24212
804	99464	24093
805	99587	23970
806	99735	23852
807	99857	23728
808	99968	23602
809	100099	23480
810	100249	23362
811	100381	23240
812	100484	23112
813	100611	22989
814	100740	22867
815	100867	22744
816	101018	22627
817	101157	22506
818	101288	22384
819	101423	22263
820	101538	22138
821	101652	22012
822	101769	21887
823	101895	21764
824	102010	21638
825	102139	21516
826	102281	21396
827	102418	21275
828	102629	21169
829	102761	21047
830	102874	20921
831	103000	20798
832	103123	20674
833	103239	20548
834	103357	20423
835	103462	20296
836	103602	20175
837	103720	20051
838	103830	19924
839	103952	19800
840	104096	19680
841	104217	19556
842	104332	19430
843	104438	19303
844	104557	19179
845	104674	19054
846	104818	18934
847	104945	18811
848	105054	18684
849	105156	18557
850	105259	18429
851	105378	18305
852	105487	18178
853	105602	18053
854	105734	17931
855	105870	17809
856	105991	17685
857	106142	17566
858	106250	17440
859	106358	17314
860	106498	17193
861	106610	17067
862	106735	16944
863	106913	16828
864	107063	16709
865	107208	16588
866	107331	16464
867	107456	16341
868	107567	16215
869	107700	16093
870	107817	15968
871	107948	15845
872	108086	15723
873	108208	15599
874	108343	15477
875	108489	15356
876	108602	15231
877	108716	15106
878	108837	14982
879	108978	14860
880	109114	14738
881	109261	14617
882	109390	14494
883	109610	14383
884	109735	14259
885	109865	14136
886	109972	14009
887	110090	13885
888	110245	13765
889	110374	13641
890	110511	13519
891	110646	13396
892	110797	13275
893	110927	13152
894	111053	13028
895	111175	12904
896	111297	12779
897	111449	12659
898	111563	12533
899	111680	12408
900	111793	12283
901	111919	12159
902	112034	12034
903	112158	11910
904	112293	11787
905	112441	11666
906	112582	11543
907	112694	11418
908	112819	11294
909	112931	11169
910	113045	11043
911	113208	10923
912	113336	10799
913	113456	10675
914	113583	10551
915	113711	10427
916	113820	10302
917	113925	10176
918	114017	10049
919	114120	9923
920	114256	9800
921	114350	9673
922	114511	9552
923	114622	9427
924	114773	9305
925	114880	9180
926	114991	9055
927	115083	8928
