iter	MultiClass
147	1.039487352
148	1.039426276
149	1.039356316
150	1.039282679
151	1.039198835
152	1.039128553
153	1.039064592
154	1.039006354
155	1.038944394
156	1.03888547
157	1.038818432
158	1.038762836
159	1.038694273
160	1.038637233
161	1.038590595
162	1.038536438
163	1.038494863
164	1.038449913
165	1.038390326
166	1.038341336
167	1.0382976
168	1.038221924
169	1.038151893
170	1.038101853
171	1.038046552
172	1.037997101
173	1.037931169
174	1.03784606
175	1.037801103
176	1.037760246
177	1.03770376
178	1.037655998
179	1.037591367
180	1.037544197
181	1.037478621
182	1.037414453
183	1.037358532
184	1.037310361
185	1.037249055
186	1.037203305
187	1.037160411
188	1.0371012
189	1.037050072
190	1.037001314
191	1.036935194
192	1.036887069
193	1.036831746
194	1.036786053
195	1.03673625
196	1.036700518
197	1.036651731
198	1.036607671
199	1.036560785
200	1.036515535
201	1.036460294
202	1.036401962
203	1.036357603
204	1.036317791
205	1.036271956
206	1.036218613
207	1.036168971
208	1.036115144
209	1.036086612
210	1.036034809
211	1.035998654
212	1.03595666
213	1.035909036
214	1.035855978
215	1.035809193
216	1.03575548
217	1.035714359
218	1.035680065
219	1.035633528
220	1.035583291
221	1.03554381
222	1.035508462
223	1.035469886
224	1.035443941
225	1.035409018
226	1.035368228
227	1.035328649
228	1.035288894
229	1.035259248
230	1.035210604
231	1.035184016
232	1.035136077
233	1.035100692
234	1.035068929
235	1.035038501
236	1.034986584
237	1.03495631
238	1.034917545
239	1.034866339
240	1.034833569
241	1.034790397
242	1.034754272
243	1.034720469
244	1.034672628
245	1.034639051
246	1.034602557
247	1.034569475
248	1.034538477
249	1.034497092
250	1.034457742
251	1.034423979
252	1.034370216
253	1.034334952
254	1.034292028
255	1.034261913
256	1.034230698
257	1.034204934
258	1.034143126
259	1.034111037
260	1.034061177
261	1.034030622
262	1.033989513
263	1.033961949
264	1.033928909
265	1.033896993
266	1.033845068
267	1.033814161
268	1.03377306
269	1.033743259
270	1.03371005
271	1.033674714
272	1.033632739
273	1.033590841
274	1.033539328
275	1.033503071
276	1.033473496
277	1.033436836
278	1.033387185
279	1.033361056
280	1.033329383
281	1.033296727
282	1.033262053
283	1.033210719
284	1.033185055
285	1.033161443
286	1.033119278
287	1.033090905
288	1.033059135
289	1.033031224
290	1.033006088
291	1.03295921
292	1.032924534
293	1.032879107
294	1.032853805
295	1.032815711
296	1.032784975
297	1.032745184
298	1.032716401
299	1.032687886
300	1.032656972
301	1.032627306
302	1.032601173
303	1.032578105
304	1.032554646
305	1.032526735
306	1.032485851
307	1.032460328
308	1.032427801
309	1.032391098
310	1.032361814
311	1.032323303
312	1.032283631
313	1.0322536
314	1.032221365
315	1.032176897
316	1.032133479
317	1.03210339
318	1.032072015
319	1.032036503
320	1.032010886
321	1.031979532
322	1.031954249
323	1.031922041
324	1.031898177
325	1.031860637
326	1.031835841
327	1.031797765
328	1.031765686
329	1.031739718
330	1.031712986
331	1.031671473
332	1.031644704
333	1.031605902
334	1.031579073
335	1.031552689
336	1.03152127
337	1.031491338
338	1.03146196
339	1.031438661
340	1.031410514
341	1.031386096
342	1.031358812
343	1.031318565
344	1.031292036
345	1.031261675
346	1.031232272
347	1.031199018
348	1.031144934
349	1.03111498
350	1.031080257
351	1.031052231
352	1.031028324
353	1.030993138
354	1.030967486
355	1.030934549
356	1.030900206
357	1.030871334
358	1.030850986
359	1.030817191
360	1.030799083
361	1.03076072
362	1.030732406
363	1.030704443
364	1.03067844
365	1.030648478
366	1.030622921
367	1.030597936
368	1.030563515
369	1.030524514
370	1.030498572
371	1.030466106
372	1.030440467
373	1.030414679
374	1.03038784
375	1.030361602
376	1.030331522
377	1.030292552
378	1.030263895
379	1.030235204
380	1.030213931
381	1.030187638
382	1.030154204
383	1.03012365
384	1.030101828
385	1.03007864
386	1.030045305
387	1.030012058
388	1.029988375
389	1.029959359
390	1.029915796
391	1.029892931
392	1.029861689
393	1.029836563
394	1.029814754
395	1.029772176
396	1.029746627
397	1.029709468
398	1.029689035
399	1.02966202
400	1.029634094
401	1.029610996
402	1.02959049
403	1.029569505
404	1.029537993
405	1.029508198
406	1.029485784
407	1.029461652
408	1.029440257
409	1.029388144
410	1.029369986
411	1.029340251
412	1.029305903
413	1.029274611
414	1.029231819
415	1.029208763
416	1.029187203
417	1.029165291
418	1.02914527
419	1.029124424
420	1.029101981
421	1.029077836
422	1.029041765
423	1.029017168
424	1.028986126
425	1.028963772
426	1.02892071
427	1.028896159
428	1.028872385
429	1.028839885
430	1.028819721
431	1.028800526
432	1.028777183
433	1.028747297
434	1.028726875
435	1.028700743
436	1.028675824
437	1.028653435
438	1.028631356
439	1.02860722
440	1.028559266
441	1.028534791
442	1.028509721
443	1.028485188
444	1.028452529
445	1.028431097
446	1.02841477
447	1.028389459
448	1.028367011
449	1.028340667
450	1.028315335
451	1.028276635
452	1.028255235
453	1.028231071
454	1.028209573
455	1.02818567
456	1.028167233
457	1.028135846
458	1.028112751
459	1.028084604
460	1.028056955
461	1.028024134
462	1.028002263
463	1.027972708
464	1.027950138
465	1.027934552
466	1.027904304
467	1.027878657
468	1.027856566
469	1.027826378
470	1.027795177
471	1.027778636
472	1.027750505
473	1.027720163
474	1.027694678
475	1.027675537
476	1.027637741
477	1.027598845
478	1.02755076
479	1.02751069
480	1.027477278
481	1.027451523
482	1.027423982
483	1.027402719
484	1.027385373
485	1.027363276
486	1.027340222
487	1.027309879
488	1.027294071
489	1.027277899
490	1.027251994
491	1.027234405
492	1.027214961
493	1.027184868
494	1.027171242
495	1.027150366
496	1.027120982
497	1.02710355
498	1.027076227
499	1.027049773
500	1.027028054
501	1.027009324
502	1.02699147
503	1.02697438
504	1.026936615
505	1.026908589
506	1.026883077
507	1.026846464
508	1.026823695
509	1.026803363
510	1.026777172
511	1.026749403
512	1.026717657
513	1.026698261
514	1.026673537
515	1.02663163
516	1.026609631
517	1.02658188
518	1.026561961
519	1.026544476
520	1.026529923
521	1.026500648
522	1.026483409
523	1.026439869
524	1.026413871
525	1.026391311
526	1.026369084
527	1.026355171
528	1.026329791
529	1.026314866
530	1.02628599
531	1.026267589
532	1.02625432
533	1.026234895
534	1.026215716
535	1.026192936
536	1.026173118
537	1.026149455
538	1.026130953
539	1.026103634
540	1.026078338
541	1.026049882
542	1.026033237
543	1.026011838
544	1.025987678
545	1.025952486
546	1.025933955
547	1.025914304
548	1.025893452
549	1.025858899
550	1.025841292
551	1.025816179
552	1.025787451
553	1.025765449
554	1.025755587
555	1.025732428
